Color Label,Hex Value,RGB
Earths Core,#C33F28,"(195, 63, 40)"
18YR 36/386,#E18479,"(225, 132, 121)"
31YR 50/290,#EDA798,"(237, 167, 152)"
46YR 69/173,#F8CEC0,"(248, 206, 192)"
50YR 76/087,#EFD8CF,"(239, 216, 207)"
30YR 10/314,#823F33,"(130, 63, 51)"
Spicy Paprika,#A43E2D,"(164, 62, 45)"
30YR 21/505,#CA5B4A,"(202, 91, 74)"
32YR 38/392,#E58A77,"(229, 138, 119)"
49YR 59/226,#F1BCA9,"(241, 188, 169)"
50YR 75/111,#F4D8CE,"(244, 216, 206)"
51YR 83/054,#F3E3DA,"(243, 227, 218)"
30YR 15/550,#B54131,"(181, 65, 49)"
30YR 20/595,#CF4D3D,"(207, 77, 61)"
28YR 29/561,#E16553,"(225, 101, 83)"
42YR 43/439,#F39578,"(243, 149, 120)"
61YR 60/282,#F6B99D,"(246, 185, 157)"
60YR 70/151,#F2CEBE,"(242, 206, 190)"
60YR 83/060,#F2E2D9,"(242, 226, 217)"
38YR 17/442,#AE5138,"(174, 81, 56)"
Rocket Fire,#D35338,"(211, 83, 56)"
Satsuma Spice,#DE6546,"(222, 101, 70)"
50YR 32/460,#DD7B59,"(221, 123, 89)"
58YR 49/379,#F4A481,"(244, 164, 129)"
61YR 61/229,#F3C0A9,"(243, 192, 169)"
74YR 71/141,#F2D4C2,"(242, 212, 194)"
39YR 11/342,#874531,"(135, 69, 49)"
50YR 15/377,#9A5238,"(154, 82, 56)"
Cinnamon Sprinkle,#AD6C55,"(173, 108, 85)"
Copper Blush,#CC907B,"(204, 144, 123)"
Fresh Plaster,#DAB6AB,"(218, 182, 171)"
50YR 66/091,#E3CCC3,"(227, 204, 195)"
50YR 83/040,#F0E5DE,"(240, 229, 222)"
30YR 08/236,#713E34,"(113, 62, 52)"
30YR 12/292,#8B4C3F,"(139, 76, 63)"
50YR 23/365,#B86C51,"(184, 108, 81)"
Sunset Kiss,#DC9C86,"(220, 156, 134)"
50YR 55/201,#E5B4A3,"(229, 180, 163)"
50YR 68/114,#EACDC2,"(234, 205, 194)"
45YR 83/076,#F6E3DB,"(246, 227, 219)"
60YR 16/464,#AE562D,"(174, 86, 45)"
60YR 24/439,#BE6B44,"(190, 107, 68)"
Frosted Papaya,#CD8161,"(205, 129, 97)"
60YR 40/297,#D8967B,"(216, 150, 123)"
70YR 56/190,#E1B7A3,"(225, 183, 163)"
70YR 68/118,#EACEC0,"(234, 206, 192)"
67YR 77/081,#EFDCD2,"(239, 220, 210)"
50YR 09/244,#724232,"(114, 66, 50)"
53YR 17/504,#B25431,"(178, 84, 49)"
48YR 26/519,#D06740,"(208, 103, 64)"
60YR 40/423,#E5906A,"(229, 144, 106)"
63YR 50/340,#EEA986,"(238, 169, 134)"
78YR 74/155,#F8D7C3,"(248, 215, 195)"
Candy Cream,#F8E8DC,"(248, 232, 220)"
50YR 12/406,#994C33,"(153, 76, 51)"
52YR 21/567,#CA5322,"(202, 83, 34)"
49YR 27/627,#E16233,"(225, 98, 51)"
55YR 36/590,#F37C4B,"(243, 124, 75)"
60YR 55/271,#EFB499,"(239, 180, 153)"
59YR 70/153,#F4D1C1,"(244, 209, 193)"
60YR 75/075,#EDDAD1,"(237, 218, 209)"
63YR 26/584,#D4692E,"(212, 105, 46)"
68YR 28/701,#E56E27,"(229, 110, 39)"
65YR 35/659,#F17831,"(241, 120, 49)"
Tangerine Twist,#F08948,"(240, 137, 72)"
83YR 54/381,#F6B180,"(246, 177, 128)"
83YR 62/211,#EEC4A9,"(238, 196, 169)"
82YR 81/106,#F7E2D3,"(247, 226, 211)"
52YR 18/350,#A55E43,"(165, 94, 67)"
Autumn Embrace,#C16130,"(193, 97, 48)"
69YR 39/474,#E68D5A,"(230, 141, 90)"
Fandango Fun,#F8A476,"(248, 164, 118)"
Sunblush Peach,#FFBB93,"(255, 187, 147)"
Sunset Sands,#FBCAAA,"(251, 202, 170)"
90YR 83/070,#F4E5D9,"(244, 229, 217)"
45YR 11/240,#794532,"(121, 69, 50)"
54YR 22/344,#AE684A,"(174, 104, 74)"
66YR 33/286,#C2886B,"(194, 136, 107)"
70YR 45/261,#D9A387,"(217, 163, 135)"
80YR 57/179,#E1BCA7,"(225, 188, 167)"
90YR 77/115,#F4DDCC,"(244, 221, 204)"
99YR 85/075,#F4E6DA,"(244, 230, 218)"
Bay Horse,#8E5637,"(142, 86, 55)"
62YR 18/397,#A75B34,"(167, 91, 52)"
Notebook Orange,#C2794F,"(194, 121, 79)"
80YR 46/243,#D6A78A,"(214, 167, 138)"
90YR 64/166,#E9C9B2,"(233, 201, 178)"
03YY 82/067,#F2E6DB,"(242, 230, 219)"
50YR 83/020,#EDE8E4,"(237, 232, 228)"
77YR 14/306,#8A5631,"(138, 86, 49)"
80YR 19/378,#A4673C,"(164, 103, 60)"
80YR 35/383,#D08E61,"(208, 142, 97)"
80YR 55/266,#EAB696,"(234, 182, 150)"
80YR 65/185,#F0C8B0,"(240, 200, 176)"
90YR 72/159,#F3D4BD,"(243, 212, 189)"
99YR 83/059,#F3E6D9,"(243, 230, 217)"
70YR 08/186,#654330,"(101, 67, 48)"
80YR 13/325,#8F5833,"(143, 88, 51)"
77YR 26/391,#BB7546,"(187, 117, 70)"
Golden Brick,#CF966E,"(207, 150, 110)"
90YR 55/266,#E7B794,"(231, 183, 148)"
86YR 70/136,#EED3C1,"(238, 211, 193)"
80YR 76/086,#EFDDD1,"(239, 221, 209)"
70YR 19/432,#AE6335,"(174, 99, 53)"
80YR 31/508,#D77E44,"(215, 126, 68)"
80YR 34/468,#DA8953,"(218, 137, 83)"
80YR 45/427,#EC9F6C,"(236, 159, 108)"
85YR 60/336,#FABC90,"(250, 188, 144)"
87YR 67/204,#F3CCB0,"(243, 204, 176)"
08YY 82/100,#F6E5D4,"(246, 229, 212)"
75YR 18/393,#A25D2C,"(162, 93, 44)"
75YR 27/487,#C77338,"(199, 115, 56)"
80YR 32/489,#D38043,"(211, 128, 67)"
84YR 46/409,#E8A06C,"(232, 160, 108)"
90YR 57/293,#F0BC94,"(240, 188, 148)"
99YR 63/283,#F3C49B,"(243, 196, 155)"
Abalone Sands,#F0DCC9,"(240, 220, 201)"
80YR 20/488,#B4662F,"(180, 102, 47)"
Active Orange,#DC7525,"(220, 117, 37)"
83YR 44/540,#F19754,"(241, 151, 84)"
90YR 54/440,#F4AC71,"(244, 172, 113)"
05YY 72/254,#F9D1AA,"(249, 209, 170)"
16YY 76/189,#F8DCBB,"(248, 220, 187)"
21YY 84/128,#FAE8D1,"(250, 232, 209)"
76YR 27/558,#CD6F27,"(205, 111, 39)"
78YR 39/576,#ED8B45,"(237, 139, 69)"
86YR 49/493,#F5A265,"(245, 162, 101)"
Marmalade Preserve,#FFAE62,"(255, 174, 98)"
Marigold Cheer,#FFBE7A,"(255, 190, 122)"
Peach Posset,#FED6AB,"(254, 214, 171)"
11YY 79/170,#FAE0C3,"(250, 224, 195)"
01YY 36/694,#EB8621,"(235, 134, 33)"
85YR 38/700,#F18517,"(241, 133, 23)"
96YR 46/632,#F79A38,"(247, 154, 56)"
97YR 54/511,#FCAE63,"(252, 174, 99)"
Golden Egg,#FDC582,"(253, 197, 130)"
Custard Cream,#FAD9AF,"(250, 217, 175)"
30YY 81/123,#F3E5CE,"(243, 229, 206)"
90YR 31/605,#D77E29,"(215, 126, 41)"
90YR 34/561,#DD883A,"(221, 136, 58)"
90YR 41/472,#E29859,"(226, 152, 89)"
90YR 46/346,#E0A678,"(224, 166, 120)"
99YR 61/205,#E7C4A6,"(231, 196, 166)"
10YY 78/188,#F9DBBD,"(249, 219, 189)"
08YY 83/117,#FAE7D3,"(250, 231, 211)"
90YR 19/487,#AE6830,"(174, 104, 48)"
90YR 34/468,#D48B4C,"(212, 139, 76)"
00YY 41/475,#E09851,"(224, 152, 81)"
00YY 49/387,#E6A96F,"(230, 169, 111)"
09YY 59/325,#EEBF8B,"(238, 191, 139)"
11YY 68/269,#F6CEA2,"(246, 206, 162)"
10YY 74/192,#F6D8B8,"(246, 216, 184)"
10YY 09/200,#6B5137,"(107, 81, 55)"
93YR 22/305,#A17247,"(161, 114, 71)"
94YR 40/219,#C49F80,"(196, 159, 128)"
98YR 53/235,#DDB694,"(221, 182, 148)"
10YY 72/200,#F5D6B5,"(245, 214, 181)"
11YY 78/136,#F6E0C9,"(246, 224, 201)"
Peach Souffle,#F4E8DA,"(244, 232, 218)"
00YY 18/346,#986735,"(152, 103, 53)"
Peanut Butter,#BF8E63,"(191, 142, 99)"
Gingernut Crumb,#D09D6E,"(208, 157, 110)"
Muted Amber,#E3B383,"(227, 179, 131)"
10YY 65/285,#F2C89B,"(242, 200, 155)"
10YY 72/172,#F1D6BA,"(241, 214, 186)"
17YY 79/105,#F1E1CF,"(241, 225, 207)"
00YY 12/279,#7F5832,"(127, 88, 50)"
Treasure Chest,#9E7043,"(158, 112, 67)"
10YY 38/316,#C59967,"(197, 153, 103)"
Poached Peach,#E6B580,"(230, 181, 128)"
10YY 58/295,#E9BD8E,"(233, 189, 142)"
17YY 68/203,#EDD0AE,"(237, 208, 174)"
10YY 77/125,#F3DEC8,"(243, 222, 200)"
00YY 15/371,#956133,"(149, 97, 51)"
99YR 23/456,#AF7026,"(175, 112, 38)"
04YY 39/480,#D9974C,"(217, 151, 76)"
09YY 45/402,#DDA667,"(221, 166, 103)"
14YY 63/272,#EFC89B,"(239, 200, 155)"
10YY 69/130,#E8D3BD,"(232, 211, 189)"
10YY 83/071,#F4E8DA,"(244, 232, 218)"
10YY 12/300,#825E39,"(130, 94, 57)"
10YY 21/500,#B0752D,"(176, 117, 45)"
10YY 35/543,#D19038,"(209, 144, 56)"
Safari Spice,#E2AD72,"(226, 173, 114)"
20YY 65/285,#EFC898,"(239, 200, 152)"
20YY 67/216,#EED0AC,"(238, 208, 172)"
24YY 82/118,#F6E5D0,"(246, 229, 208)"
00YY 26/520,#C27B2E,"(194, 123, 46)"
04YY 39/638,#E3901A,"(227, 144, 26)"
10YY 46/515,#E8A553,"(232, 165, 83)"
10YY 50/469,#EBAE62,"(235, 174, 98)"
25YY 57/441,#F3BA6F,"(243, 186, 111)"
19YY 71/323,#FDD29B,"(253, 210, 155)"
22YY 80/211,#FEE1BC,"(254, 225, 188)"
00YY 19/464,#A96B2B,"(169, 107, 43)"
00YY 28/650,#CE8121,"(206, 129, 33)"
05YY 42/727,#F3951B,"(243, 149, 27)"
09YY 57/689,#FFAF3E,"(255, 175, 62)"
